No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
1,"1,75 M","Rumah Mewah di Bandung Kota, Disc 300 jta, Fasilitas Lengkap, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",180,120,3,2
2,710000000,"Rumah Asri di Bandung Kota, CLUSTER ZINGONIUM, Grand sharon, Bandung Kota, Bandung","Bandung, Bandung Kota",72,42,2,1
3,"1,1 M","Rumah minimalis modern di bandung kota Diskon 300 juta, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,85,3,2
4,"1,12 M","rumah minimalis 2 lantai di Cluster Estillo Grand Sharon Residence Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,82,3,2
5,710000000,"Rumah Mewah di cluster Ekslusif di bandung Timur, Bandung Kota, Bandung","Bandung, Bandung Kota",72,42,2,1
6,930000000,"Rumah Mewah di bandung Timur Diskon 300 juta Gratis Taman, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",109,52,2,1
7,980000000,"Ruamah idaman di bandung Timur dilengkapi taman tematik, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",123,52,2,1
8,1 M,"Promo Dp 0%, Akses Jalan Dekat Main Road Soekarno Hatta Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",109,68,2,1
9,"2,9 M","Rumah Mewah Dekat RS Al-Islam, Siap Huni, Diskon Dp 50%, Bebas Biaya KPR&amp;Pajak, Ada Kolam Renang dan Lapangan2 Olahraga, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",225,175,5,3
10,"1,82 M","Rumah Siap Huni Diskon Dp 50% Bisa Dicicil, Free Biaya KPR, dan Bonus CCTV, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",180,120,3,2
11,"1,15 M","Rumah Siap Huni Di Bandung Timur Soekarno Hatta, Ada Kolam Renang, Bebas Banjir, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,82,3,2
12,"2,9 M","Rumah Mewah Siap Huni, Diskon Dp 50% Bisa Dicicil, Free Biaya KPR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",225,175,5,3
13,1 M,"Rumah Dekat RS al-Islam Bandung, Dp Mulai 30jutaan Lebih, Bebas Biaya KPR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",82,95,3,2
14,"1,8 M","Rumah Mewah Di Bandung Timur, Diskon DP 50% Bisa Dicicil, Free Biaya KPR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",180,120,3,2
15,"2,93 M","Rumah yang Siap Huni Di Bandung Timur, Ada Fasilitas Kolam Renang dan Sarana Lain, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",225,175,3,2
16,380000000,"Rumah Villa Dp 20juta, Cicilan 3jt, Lokasi Strategis di Bandung Timur, Cileunyi, Bandung","Bandung, Cileunyi",75,40,2,1
17,750000000,"Rumah Siap Huni Dp 30jt-an Bisa Dicicil, Free Biaya KPR, Bonus Canopy Depan, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",78,45,2,1
18,725000000,"rumah cluster belleza, Antapani, Bandung","Bandung, Antapani",104,110,3,3
19,465000000,"Rumah Siap Huni Kota Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",73,36,2,1
20,814000000,"Rumah Baru di kota Bandung DP Ringan, Ciwastra, Bandung","Bandung, Ciwastra",90,45,2,1
21,675000000,"Rumah minimalis baru, 2 lantai 900 meter dari Jl. PH mustofa, Cicaheum, Bandung","Bandung, Cicaheum",60,66,2,2
22,698000000,"Rumah Murah Kota Bandung DP Ringan, Ciwastra, Bandung","Bandung, Ciwastra",90,40,2,1
23,710000000,"Clsuter Baru Fasilitas Terlengkap Grand Sharon, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",72,42,2,1
24,"1,01 M","Rumah Minimalis Fasilitas terlengkap Grand sharon, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",108,52,2,1
25,345000000,"Cluster Syariah Baru Eksklusif Bandung Timur Pas 300 Jt, Ujungberung, Bandung","Bandung, Ujungberung",36,72,2,1
26,"1,1 M","Rumah Taman di Grand sharon Bandung Selatan, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",68,109,2,1
27,"2,96 M","Luxury Home at Grand Sharon Bandung ... PROMO!!!!, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",225,175,5,3
28,376000000,"Promo Besar2an Cluster Eksklusif Bandung timur dekat Ext Tol Cileunyi, Rancaekek, Bandung","Bandung, Rancaekek",86,36,2,1
29,"1,16 M","Clsuter Minimalis 2 Lantai di Grand Sharon Promo Terbatas, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,82,3,2
30,337000000,"Cluster Murah Baru Bandung Timur dekat Exit Tol Cileunyi, Rancaekek, Bandung","Bandung, Rancaekek",72,36,2,1
31,"1,92 M","Promo Rumah Mewah di Grand sharon Kota Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",180,120,3,2
