"","Tanah","Bangunan","Harga","ratio","cluster","HargaT","IntT","HargaBangunan","HargaB","IntB","Prediksi","Error","AbsE"
"1",800,82,790000000,0.1025,1,2605495.16816132,176369145.756789,-1470765280.28584,2535185.50851072,44800917.4385907,2513451409.42231,-68.5691158763411,68.5691158763411
"2",90,45,550000000,0.5,3,2605495.16816132,176369145.756789,139136289.108692,2535185.50851072,44800917.4385907,569747976.212881,-3.46608975149787,3.46608975149787
"3",80,82,790000000,1.025,6,2605495.16816132,176369145.756789,405191240.790305,2535185.50851072,44800917.4385907,637494888.346165,23.9225622733188,23.9225622733188
"4",120,87,760000000,0.725,4,2605495.16816132,176369145.756789,270971434.063852,2535185.50851072,44800917.4385907,754390622.615171,0.743564039195431,0.743564039195431
"5",86,36,630000000,0.418604651162791,3,2605495.16816132,176369145.756789,229558269.781337,2535185.50851072,44800917.4385907,536509325.963639,17.4257313921691,17.4257313921691
"6",90,45,560000000,0.5,3,2605495.16816132,176369145.756789,149136289.108692,2535185.50851072,44800917.4385907,569747976.212881,-1.71092774697965,1.71092774697965
"7",84,124,970000000,1.47619047619048,6,2605495.16816132,176369145.756789,574769260.11766,2535185.50851072,44800917.4385907,754394660.37626,28.5799132666455,28.5799132666455
"8",95,60,570000000,0.631578947368421,4,2605495.16816132,176369145.756789,146108813.267885,2535185.50851072,44800917.4385907,620803234.681349,-8.1834681011972,8.1834681011972
"9",150,75,850000000,0.5,3,2605495.16816132,176369145.756789,282806579.019013,2535185.50851072,44800917.4385907,802133251.557882,5.96743101587579,5.96743101587579
"10",80,82,790000000,1.025,6,2605495.16816132,176369145.756789,405191240.790305,2535185.50851072,44800917.4385907,637494888.346165,23.9225622733188,23.9225622733188
"11",200,45,650000000,0.225,2,2605495.16816132,176369145.756789,-47468179.389053,2535185.50851072,44800917.4385907,856352444.710626,-24.0966725774171,24.0966725774171
"12",80,60,700000000,0.75,4,2605495.16816132,176369145.756789,315191240.790305,2535185.50851072,44800917.4385907,581720807.158929,20.3326391948632,20.3326391948632
"13",96,50,625000000,0.520833333333333,3,2605495.16816132,176369145.756789,198503318.099724,2535185.50851072,44800917.4385907,598056874.764403,4.50511086361329,4.50511086361329
