"","Tanah","Bangunan","Harga","ratio","cluster","cluster2Tanah","cluster2Bangunan","cluster2Intercept","Prediksi","Error","AbsE"
"1",200,45,650000000,0.225,2,-224518.69352815,11440417.8021448,203679290.464681,673594352.855566,0.0362990043931781,0.0362990043931781
"2",162,60,900000000,0.37037037037037,2,-224518.69352815,11440417.8021448,203679290.464681,853732330.241807,-0.0514085219535477,0.0514085219535477
"3",160,60,750000000,0.375,2,-224518.69352815,11440417.8021448,203679290.464681,854181367.628863,0.138908490171818,0.138908490171818
"4",162,60,900000000,0.37037037037037,2,-224518.69352815,11440417.8021448,203679290.464681,853732330.241807,-0.0514085219535477,0.0514085219535477
"5",127,36,639000000,0.283464566929134,2,-224518.69352815,11440417.8021448,203679290.464681,587020457.263818,-0.0813451373023198,0.0813451373023198
"6",160,60,895000000,0.375,2,-224518.69352815,11440417.8021448,203679290.464681,854181367.628863,-0.0456074104705436,0.0456074104705436
"7",108,42,650000000,0.388888888888889,2,-224518.69352815,11440417.8021448,203679290.464681,659928819.253721,0.0152751065441865,0.0152751065441865
"8",108,42,650000000,0.388888888888889,2,-224518.69352815,11440417.8021448,203679290.464681,659928819.253721,0.0152751065441865,0.0152751065441865
"9",108,42,650000000,0.388888888888889,2,-224518.69352815,11440417.8021448,203679290.464681,659928819.253721,0.0152751065441865,0.0152751065441865
"10",108,42,650000000,0.388888888888889,2,-224518.69352815,11440417.8021448,203679290.464681,659928819.253721,0.0152751065441865,0.0152751065441865
"11",162,60,800000000,0.37037037037037,2,-224518.69352815,11440417.8021448,203679290.464681,853732330.241807,0.0671654128022589,0.0671654128022589
"12",108,42,650000000,0.388888888888889,2,-224518.69352815,11440417.8021448,203679290.464681,659928819.253721,0.0152751065441865,0.0152751065441865
"13",160,60,900000000,0.375,2,-224518.69352815,11440417.8021448,203679290.464681,854181367.628863,-0.0509095915234851,0.0509095915234851
