"","Tanah","Bangunan","Harga","ratio","cluster","cluster2Tanah","cluster2Bangunan","cluster2Intercept","cluster5Tanah","cluster5Bangunan","cluster5Intercept","Prediksi","Error","AbsE"
"1",110,90,850000000,0.818181818181818,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,816143467.27989,-0.0398312149648358,NA
"2",108,90,900000000,0.833333333333333,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,812803430.136899,-0.096885077625668,NA
"3",96,90,750000000,0.9375,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,792763207.278954,0.0570176097052717,NA
"4",87.5,73,935000000,0.834285714285714,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,799506214.050496,-0.144913140052945,NA
"5",87,73,935000000,0.839080459770115,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,798671204.764749,-0.145806198112568,NA
"6",87,75,935000000,0.862068965517241,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,796207891.278954,-0.148440757990423,NA
"7",133,120,680000000,0.902255639097744,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,817604192.137366,0.202359106084362,NA
"8",115,100,875000000,0.869565217391304,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,812176992.708394,-0.0717977226189785,NA
"9",123,100,950000000,0.813008130081301,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,825537141.280357,-0.131013535494361,NA
"10",99,85,750000000,0.858585858585859,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,803931546.707926,0.0719087289439019,NA
"11",110,90,850000000,0.818181818181818,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,816143467.27989,-0.0398312149648358,NA
"12",100,80,780000000,0.8,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,811759848.993908,0.0407177551203951,NA
"13",140,120,850000000,0.857142857142857,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,829294322.137834,-0.0243596210143133,NA
"14",123,100,850000000,0.813008130081301,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,825537141.280357,-0.0287798337878152,NA
"15",84,70,750000000,0.833333333333333,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,797356119.278954,0.063141492371939,NA
"16",123,100,850000000,0.813008130081301,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,825537141.280357,-0.0287798337878152,NA
"17",116,100,875000000,0.862068965517241,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,813847011.279889,-0.0698891299658409,NA
"18",98,80,450000000,0.816326530612245,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,808419811.850917,0.796488470779816,NA
"19",100,80,600000000,0.8,5,NA,NA,NA,1670018.57149541,-1231656.74289727,743290531.276149,811759848.993908,0.352933081656514,NA
